dia,periodo,horario,tipo,atividade,ano_serie
Segunda-feira,Tarde,13h00,Aula,Português - 6º ano B,6º Ano Fundamental
Segunda-feira,Tarde,13h50,Aula,Português - 7º ano C,7º Ano Fundamental
Segunda-feira,Tarde,15h00,Aula,Português - 7º ano D,7º Ano Fundamental
Segunda-feira,Tarde,15h50,Aula,Português - 7º ano A,7º Ano Fundamental
Segunda-feira,Tarde,16h40,Aula,Português - 6º ano C,6º Ano Fundamental
Segunda-feira,Tarde,17h30,Aula,Português - 7º ano B,7º Ano Fundamental
Segunda-feira,Noite,19h45,Aula,RL - 2ª série D,2ª Série Médio
Segunda-feira,Noite,20h30,Aula,RL - 2ª série D,2ª Série Médio
Segunda-feira,Noite,21h30,Aula,RL - 2ª série B,2ª Série Médio
Segunda-feira,Noite,22h15,Aula,RL - 2ª série B,2ª Série Médio
Terça-feira,ATPC,10h50 - 12h30,ATPC,ATPC - Anos Finais,
Terça-feira,Tarde,13h00,Aula,Português - 7º ano D,7º Ano Fundamental
Terça-feira,Tarde,13h50,Aula,Português - 7º ano D,7º Ano Fundamental
Terça-feira,Tarde,15h50,Aula,Português - 7º ano C,7º Ano Fundamental
Terça-feira,Tarde,16h40,Aula,Português - 7º ano B,7º Ano Fundamental
Terça-feira,ATPC,16h50 - 18h30,ATPC,ATPC - Ensino Médio,
Terça-feira,Tarde,17h30,Aula,Português - 7º ano A,7º Ano Fundamental
Quarta-feira,ATPC,10h50 - 12h30,ATPC,ATPC - Anos Finais,
Quarta-feira,Tarde,13h00,Aula,Português - 6º ano D,6º Ano Fundamental
Quarta-feira,Tarde,13h50,Aula,Português - 7º ano B,7º Ano Fundamental
Quarta-feira,Tarde,15h00,Aula,Português - 7º ano A,7º Ano Fundamental
Quarta-feira,Tarde,15h50,Aula,Português - 6º ano B,6º Ano Fundamental
Quarta-feira,Tarde,16h40,Aula,Português - 6º ano B,6º Ano Fundamental
Quarta-feira,ATPC,16h50 - 18h30,ATPC,ATPC - Ensino Médio,
Quarta-feira,Tarde,17h30,Aula,Português - 6º ano C,6º Ano Fundamental
Quarta-feira,Noite,19h45,Aula,Orientação de Estudos de Português - 3ª série E,3ª Série Médio
Quarta-feira,Noite,20h30,Aula,Orientação de Estudos de Português - 3ª série E,3ª Série Médio
Quarta-feira,Noite,21h30,Aula,Orientação de Estudos de Português - 3ª série D,3ª Série Médio
Quarta-feira,Noite,22h15,Aula,Orientação de Estudos de Português - 3ª série D,3ª Série Médio
Quinta-feira,ATPC,11h40 - 12h30,ATPC,ATPC - Anos Finais,
Quinta-feira,Tarde,13h00,Aula,Português - 7º ano C,7º Ano Fundamental
Quinta-feira,Tarde,13h50,Aula,Português - 7º ano C,7º Ano Fundamental
Quinta-feira,Tarde,15h00,Aula,Português - 6º ano B,6º Ano Fundamental
Quinta-feira,Tarde,15h50,Aula,Português - 7º ano B,7º Ano Fundamental
Quinta-feira,Tarde,16h40,Aula,Português - 6º ano C,6º Ano Fundamental
Quinta-feira,Tarde,17h30,Aula,Português - 6º ano D,6º Ano Fundamental
Quinta-feira,ATPC,17h40 - 18h30,ATPC,ATPC - Ensino Médio,
Sexta-feira,Tarde,13h00,Aula,Português - 7º ano A,7º Ano Fundamental
Sexta-feira,Tarde,13h50,Aula,Português - 7º ano D,7º Ano Fundamental
Sexta-feira,Tarde,15h00,Aula,Português - 6º ano C,6º Ano Fundamental
Sexta-feira,Tarde,15h50,Aula,Português - 6º ano D,6º Ano Fundamental
Sexta-feira,Tarde,16h40,Aula,Português - 6º ano D,6º Ano Fundamental
